Frequency (Hz)	Level (dB)
12093.750000	-92.534859
12140.625000	-92.350349
12187.500000	-91.873062
12234.375000	-91.925583
12281.250000	-91.953438
12328.125000	-91.774742
12375.000000	-91.863914
12421.875000	-92.053795
12468.750000	-92.237381
12515.625000	-91.972450
12562.500000	-92.041695
12609.375000	-91.958069
12656.250000	-92.400818
12703.125000	-92.367531
12750.000000	-92.465233
12796.875000	-92.585983
12843.750000	-92.517769
12890.625000	-92.178276
12937.500000	-92.261131
12984.375000	-92.569176
13031.250000	-92.845268
13078.125000	-92.828613
13125.000000	-92.055588
13171.875000	-91.419670
13218.750000	-91.266129
13265.625000	-91.511581
13312.500000	-91.963249
13359.375000	-91.860603
13406.250000	-92.086662
13453.125000	-92.075485
13500.000000	-92.157608
13546.875000	-92.128532
13593.750000	-92.224518
13640.625000	-92.653580
13687.500000	-92.239098
13734.375000	-91.964828
13781.250000	-91.815819
13828.125000	-91.428009
13875.000000	-91.200378
13921.875000	-91.303185
13968.750000	-91.467888
14015.625000	-91.383690
14062.500000	-91.290337
14109.375000	-91.300919
14156.250000	-91.433716
14203.125000	-91.751999
14250.000000	-91.788132
14296.875000	-91.505302
14343.750000	-91.210869
14390.625000	-91.173004
14437.500000	-91.484413
14484.375000	-91.450851
14531.250000	-91.713905
14578.125000	-91.841782
14625.000000	-91.998756
14671.875000	-91.829880
14718.750000	-91.826668
14765.625000	-91.515625
14812.500000	-91.536354
14859.375000	-91.254257
14906.250000	-91.542175
14953.125000	-91.502319
15000.000000	-91.379211
15046.875000	-91.498947
15093.750000	-91.455246
15140.625000	-91.278053
15187.500000	-91.351105
15234.375000	-91.635818
15281.250000	-91.656540
15328.125000	-91.250900
15375.000000	-90.760681
15421.875000	-90.305267
15468.750000	-90.098007
15515.625000	-90.035759
15562.500000	-90.186020
15609.375000	-90.438911
15656.250000	-90.687492
15703.125000	-90.848007
15750.000000	-90.684418
15796.875000	-90.684097
15843.750000	-90.940536
15890.625000	-90.888741
15937.500000	-90.419510
15984.375000	-90.344414
16031.250000	-90.856873
16078.125000	-90.812965
16125.000000	-90.525764
16171.875000	-90.167641
16218.750000	-89.953789
16265.625000	-89.980446
16312.500000	-90.028206
16359.375000	-90.277596
16406.250000	-90.099236
16453.125000	-89.629578
16500.000000	-89.708878
16546.875000	-89.847115
16593.750000	-89.952065
16640.625000	-89.741753
16687.500000	-89.659027
16734.375000	-89.438309
16781.250000	-88.784355
16828.125000	-88.479233
16875.000000	-88.327560
16921.875000	-88.601952
16968.750000	-88.631927
17015.625000	-88.536736
17062.500000	-88.719383
17109.375000	-88.299393
17156.250000	-88.063820
17203.125000	-88.251045
17250.000000	-88.510307
17296.875000	-87.648483
17343.750000	-86.837379
17390.625000	-86.856400
17437.500000	-87.169815
17484.375000	-87.364998
17531.250000	-87.062347
17578.125000	-87.056572
17625.000000	-87.304535
17671.875000	-87.333054
17718.750000	-86.890213
17765.625000	-86.307732
17812.500000	-85.818916
17859.375000	-85.444534
17906.250000	-85.453125
17953.125000	-85.343422
18000.000000	-85.025558
18046.875000	-84.910294
18093.750000	-84.901642
18140.625000	-84.537102
18187.500000	-82.971840
18234.375000	-83.360855
18281.250000	-83.877563
18328.125000	-84.064049
18375.000000	-84.268890
18421.875000	-83.957756
18468.750000	-84.388870
18515.625000	-84.573853
18562.500000	-83.937752
18609.375000	-83.496498
18656.250000	-83.217400
18703.125000	-83.840591
18750.000000	-85.273743
18796.875000	-87.667549
18843.750000	-91.469406
18890.625000	-97.485298
18937.500000	-104.661201
18984.375000	-112.000572
19031.250000	-119.928856
19078.125000	-126.716125
19125.000000	-132.318741
19171.875000	-136.739899
19218.750000	-139.413345
19265.625000	-141.440308
19312.500000	-143.569000
19359.375000	-147.291946
19406.250000	-151.461639
19453.125000	-155.065704
19500.000000	-156.800934
19546.875000	-159.033783
19593.750000	-160.159958
19640.625000	-161.108078
19687.500000	-162.950027
19734.375000	-165.703308
19781.250000	-169.154984
19828.125000	-171.211807
19875.000000	-171.056808
19921.875000	-170.492203
19968.750000	-170.425705
20015.625000	-172.888962
20062.500000	-175.037476
20109.375000	-174.094849
20156.250000	-171.014252
20203.125000	-170.239563
20250.000000	-173.426865
20296.875000	-174.896500
20343.750000	-174.320053
20390.625000	-174.914581
20437.500000	-170.567841
20484.375000	-168.215363
20531.250000	-171.708313
20578.125000	-174.167664
20625.000000	-173.887512
20671.875000	-173.952652
20718.750000	-174.098022
20765.625000	-173.931931
20812.500000	-175.686996
20859.375000	-172.050293
